,name,name_type,cas,source,smiles,y_true,pka_acid_1,pka_acid_2,pka_acid_3,pka_acid_4,pka_base_1,pka_base_2,pka_base_3,pka_base_4,α_acid_0,α_acid_1,α_acid_2,α_acid_3,α_acid_4,α_base_0,α_base_1,α_base_2,α_base_3,α_base_4
0,"Cyclopenta[c]cyclopropa[g][1,6]diazacyclotetradecine-12a(1H)-carboxylic acid, 2,3,3a,4,5,6,7,8,9,11a,12,13,14,14a-tetradecahydro-2-[[7-methoxy-8-methyl-2-[4-(1-methylethyl)-2-thiazolyl]-4-quinolinyl]oxy]-5-methyl-4,14-dioxo-, (2R,3aR,10Z,11aS,12aR,14aR)-",,923604-58-4,ClassDataset_original,COc1ccc2c(O[C@@H]3C[C@H]4C(=O)N[C@]5(C(=O)O)C[C@H]5C=CCCCCN(C)C(=O)[C@@H]4C3)cc(-c3nc(C(C)C)cs3)nc2c1C,0,4.1,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.0004996785048058,0.996989690239032,0.0025043248752663,6.29057967427355e-06,1.5801221730137746e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
1,2-methylprop-2-enoic acid,IUPAC Name,79-41-4,ClassDataset_original,C=C(C)C(=O)O,1,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
2,3-(Diisobutoxy-thiophosphorylsulfanyl)-2-methyl-propionic acid,IUPAC Name,268567-32-4,ClassDataset_original,CC(C)COP(=S)(OCC(C)C)SCC(C)C(=O)O,0,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
3,"Phenol, 2-methyl-4,6-dinitro-",IUPAC Name,534-52-1,ClassDataset_original,Cc1cc([N+](=O)[O-])cc([N+](=O)[O-])c1O,0,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
4,"2-[4-(1,3-dihydro-1,3-dioxo-2H-isoindol-2-yl)phenyl]butyric acid",,94232-67-4,ClassDataset_original,CCC(C(=O)O)c1ccc(N2C(=O)c3ccccc3C2=O)cc1,0,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
5,"Benzyl (S)-N-(1-oxopentyl)-N-((2'-(1H-tetrazole-5-yl)-1,1'-biphenyl-4-yl)methyl)-L-valinate",IUPAC Name,137863-20-8,ClassDataset_original,CCCCC(=O)N(Cc1ccc(-c2ccccc2-c2nnn[nH]2)cc1)[C@H](C(=O)OCc1ccccc1)C(C)C,0,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
6,4-(decanoyloxy)benzoic acid,IUPAC Name,86960-46-5,ClassDataset_original,CCCCCCCCCC(=O)Oc1ccc(C(=O)O)cc1,1,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
7,"potassium hydrogen benzene-1,2-dicarboxylate",IUPAC Name,877-24-7,ClassDataset_original,O=C([O-])c1ccccc1C(=O)O.[K+],1,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
8,"4-bromo-2,2-diphenylbutanoic acid",IUPAC Name,37742-98-6,ClassDataset_original,O=C(O)C(CCBr)(c1ccccc1)c1ccccc1,0,4.2,10.0,10.0,10.0,0.0,0.0,0.0,0.0,0.000628976590774,0.996860716935166,0.0025040009089743,6.2897659077403885e-06,1.5799177641024683e-08,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
9,"Benzoic acid, 3,4,5-trihydroxy-",IUPAC Name,149-91-7,ClassDataset_original,O=C(O)c1cc(O)c(O)c(O)c1,1,4.2,8.2,8.2,8.3,0.0,0.0,0.0,0.0,0.0005313766133463,0.8421751771256935,0.1334757705086249,0.0211544840037622,0.0026631917485729,2.511886331509541e-30,6.309573193613216e-23,1.584893129365367e-15,3.9810715470456376e-08,0.9999999601892828
